ID	발행연월	록키 워드 
101	2009	인지 정형 형태론 
102	2017	산업 유산 문화 평가 예술 지구 
103	2018	형성 호텔 디자인 표현 
104	2004	세계 산업 구조 재편 간 경쟁 우리나라 포함 세계 지역 지역 개발 마케팅 의존 기존 논의 지역 고유 기반 마케팅 수행 주장 지역 마케팅 활용 현실 요소 도입 마케팅 성공 사례 맥락 기존 마케팅 관련 논의 검토 인위 형성 타진 미국 오레 곤 주 애 랜드 시와 잭슨빌 시 한국 경상남도 통영시 사례 지역 선정 인위 형성 과정 검증 
105	2018	박경리 대하소설 토지 한국 중국 일본 배경 국가 세분 행정 구역 존재 작품 의미 실재 지역 의미 차이 하얼빈 현존 지금 토지 역사 존재 만주 포함 하얼빈 작품 의미 분석 박경리 토지 부 발표 하얼빈 경험 토지 5부 반영 중국 여행 집필 기행문 만리장성 나라 비교 토지 5부 하얼빈 미래 지향 화해 장소라 의미 유인 실 일제 강점기 일본인 사랑 여성 일본인 오가 지로 아이 임신 절망 아이 조찬 오가 지로 아이 유인 실 아이 쇼지 화해 희망 하얼빈 이다 사람의 아들 쇼지 일본 출발 하얼빈 도착 토지 처음 하얼빈 언급 부 용정 상의 학교 송장 환은 학생 만주 포함 고구려 영토 하얼빈 민족주의 신념 등장 하얼빈 안중근 이토 히로부미 저격 역사 사건 언급 토지 등장인물 영향 안중근 사건 허구 사건 하얼빈 금 녀 여성 일제 앞잡이 밀정 김 두수 총 저격 고문 죽음 토지 하얼빈 인본주의 화해 민족주의 신념 가지 의미 특성 후자 토지 전체 전자 5부 집중 민족주의 담론 하얼빈 작가 개인 메시지 하얼빈 토지 가지 층위 하얼빈 하얼빈 만주 인본주의 화해 민족주의 신념 
106	2017	유형 도시 공공 조명 디자인 장 소성 기술 디자인 융합 
107	2014	작가 영산강 형상화 강 텍스트 분석 영산강 상징 의미 영산강 정체성 규명 목적 서론 영산강 정체성 규명 기존 영산강 상징 의미 문순태 강 상징 의미 확인 기존 영산강 이천 역사 문화 호남 제일 젖줄 어머니 강 상징 반면 문순태 강 아버지 강 형상화 영산강 정체성 부여 강 영산강 상징 의미 가지 상징 의미 동쪽 노루 목 노비 삶 대불 정신 평온 서쪽 새끼 내 인도 추상 새끼 내 시원 터전 고향 점 시원 터전 새끼 내 세상 안전지대 자신 뿌리 상징 의미 영산강 울음소리 민중사 점 영산강 울음소리 혼령 힘 밑바닥 인생 민초 아픔 공감 사람 영산강 울음소리 민중 생명력 대불 영산강 울음소리 분노 죽음 각오 용기 만주 독립군 인숙이 광주 학생 독립운동 참여 영산강 울음소리 귀 행동 일제 항거 투쟁 무지렁이 운동 기억 의미 광주 학생 독립운동 씨앗 영산강 변 궁 삼면 무지렁이 투쟁 발아 동학 농민 전쟁 의병 운동 성장 광주 학생 독립운동 민중사 세번 상징 의미 무등 세상 아버지 강 강 영산강 아버지 강 호명 사람 양 만석 문순태 아버지 새끼 내 거주 개 동이 살아생전 생부 인정 양 만석 선택 이유 영산강 노비 핏줄 역사 서사 전략 세기말 전라도 영산강 지역 배경 노비 세습 폐지 동학 농민 전쟁 개항 부두 노동자 쟁의 의병 운동 1920년대 나주 궁 소작 쟁의 사건 광주 학생 독립운동 반세기 영산강 변 민초 저항 삶 조명 석이 노비 핏줄 인정 영산강 손 영산강 울음소리 귀 역사 기억 당대 아픔 상처 귀 메시지 강 영산강 정체성 민초 저항 역사 등의 강 강 영산강 문순태 등의 강 
108	2017	일제 강점기 학 강정 갱생 지구 지정 도시 빈민 거주 지역 출발 광주광역시 학동 배경 일제 강점기 후반 80년대 농촌 광주 이주한 학동 사람 술 생애 담 대상 학동 다중 학동 일제 식민 도시 광주 구성 과정 주변부 학동 민족 차별 식민 경제 모순 내재 해방 이후 산업 근대화 시기 외국 전재 민 농촌 이주한 사람 학동 거주 시작 학동 사람 광주 타자 존재 인식 왜곡 시선 소문 사회 배제 대상 학동 사람 사회 네트워크 형성 결핍 해소 과정 결핍 해소 성공 실패 경험 학동 거주 주체 다중 적 학동 사람 나름 애 학동 주거 환경 개선 목적 아파트 건설 아파트 분 양가 기존 학동 사람 수용 국가 자본 개입 자본 현재 학동 사람 배제 소외 상황 술 생애 담 광주 학동 학 강정 갱생 지구 주민 애 
109	2013	사용자 다 의적 행위 사건 관계 해체 
110	2017	목적 대학 신입생 글 대학 정체성 적응 과정 학년 학기 지방 소재 대학 교양 필수 과목 글쓰기 수업 시간 작성 학교 아지트 주제 글 대상 결과 학생 대학 생활 자유 만족감 표출 학과 동아리 일원 소속감 안정감 표출 아지트 발견 자체 토 필리아 관계 타인 시선 확장 자신 모습 진로 고민 다짐 계기 대학 신입생 변화 환경 적응 문제 대학 고민 문제 활동 학생 대학 인식 애착 형성 점 효과 판단 성찰 적응 대학 정체성 토 필리아 진술 방식 아지트 
111	2017	공공 건축 지역 공공 참여 공동체 
112	2017	학교 도서관 동시 가정 집 개념 물리 형태 말 개개인 경험 주관 개념 초 중 학생 사회 인지 발달 단계 학교 도서관 느낌 초 중 학생 간 형성 요인 차이 규명 애착 가치 인식 매개 학교 도서관 이용 행동 의도 과정 검증 명 초 중 학생 수집 설문 데이터 사용 분석 결과 물리 요소 활동 행태 요소 심리 요소 초 중 학생 학교 도서관 형성 영향 확인 초등학생 중학생 고등학생 물리 요소 활동 행태 요소 영향 통계 유의미 차이 애착 가치 인식 매개 학교 도서관 이용 행동 의도 연결 확인 학교 도서관 초등학생 중학생 고등학생 형성 
113	2017	글 목적 선동 사건 활용 의 극 특성 분석 의미 시간 인물 배열 층위 선동 사건 플롯 기능 분석 의 선동 사건 강수 부재 강수 집 고향 극 갈등 시작 강수 집 선동 사건 귀향 이후 발생 극 갈등 증폭 동시 제약 선동 사건 플롯 기능 고정점 역할 은 시간 층위 부재 시간 상실 인물 층위 죽음 억압 자 배열 층위 동시 동시 배열 형상화 남편 강수 아내 애 숙이 공유 기억 발견 분단 상처 위무 극 해결 은 이전 분단 희곡 선 악 이분법 사유 체계 프레임 분단 폭력 억압 상처 사람 갈등 대립 관계 용서 화해 관계 전환 상상력 은 제목 암시 분단 상처 치유 제의 드라마 분단 희곡 분단 폭력 선동 사건 침향 김명화 
114	2017	신도림역 녹지 광장 혼잡 역사 
115	2017	소비문화 개발 컨테이너 팝 업 몰이 커먼그라운드 방문자 계획 소비 경험 몰링 영향 실증 분석 방문자 인터뷰 검색 도출 변수 요인 분석 활용 개 요인 도출 도출 요인 인구 통계 특성 만족 변수 사용 몰링 체감 종속 변수 회귀분석 실시 분석 결과 다음 환경 접근 편의 F& 차별 특화 인지 식별 최신 유행 이벤트 체험 여가 유희 성의 요인 몰링 체감 유의미 영향 선택 다양성 홍보 정보 심미 경관 성은 소비자 몰링 유의미 영향 상품 구매 만족도 유의미 영향 시사점 개 컨테이너 활용 팝 업 몰이 사례 대상지 특징 형성 부분 몰링 영향 점 실증 분석 점 컨테이너 팝 업 몰링 몰링 체감 
116	2014	초등학교 통합교육 특수 학급 
117	2017	
118	2016	경복궁 청와대 측 자리 서촌 개발 규제 덕분 한옥 포함 저층 건물 골목길 동네 분위기 오랫동안 간직 서촌 골목 방문객 편안 마음 방문객 생각 호기심 골목 골목 생각 보물 서촌 도서관 도서관 보편 이동성 디지털 정보 제공 인간 접촉 사고 지식 제공 방문자 책꽂이 사이에서 책 책 사이에서 실 실 사이에서 능동 호기심 지식 체계 재구성 논문 서촌 가지 키워드 다양성 연속 일상 커뮤니티 분류 분석 서촌 도서관 연계 특징 극대 시너지 효과 도서관 디자인 방향 모색 기존 주택지 골목 모델링 방안 제시 봄 지역 정체성 지속 패러다임 제안 
119	2016	소백산 죽령 지역 문화 생태 융합 전통 유산 
120	2016	리노 베이 션 
121	2017	현대 도시 비 이동성 보행 행태 
122	2016	진행 인문 지리학 근대 사회 이론 비판 대안 의미 타자 관계 형성 인간 삶 터전 존재 조건 형성 의미 각인 삶 체험 주체 한정 의미 형성 시간 감정 교류 의미 오장환 시 특정 애 혐오 감정 이론 검토 오장환 시 애 혐오 양상 오장환 시 애 대상 고향 안정감 원형 오장환 시 상실 시 이론 적용 시 오장환 시가 양상 부분 혐오 시 부분 오장환 시 혐오 대상 도시 오장환 시 도시 이면 야만 탐색 1930년대 활동 시인 작품 중 오장환 시 변모 양상 인용 오장환 시 이외 장시 시집 기 작품 장 소감 텍스트 라고 부분 다음 애 혐오 
123	2015	도심 도심 체험 완충 도시 
124	2016	개인 의식 경험 반영 점 구별 디아스포라 재일 한인 유미리 역할 차지 연구자 이 안과 상실 의미 에드워드 이론 의거 유미리 소설 통시 분석 작가 의식 인해 구성 정체성 양상 의미 분석 지금 유미리 작품 간과 소설 장 소성 양상 통시 확인 부유 디아스포라 주체 고향 도달 과정 중 고향 구축 도달 의미 부여 이유 이후 유미리 고향 서사 을 발표 작품 유미리 모국 귀속 정체성 구축 장소라 고향 자발 작중 인물 작가 자신 설정 귀향 과정 자신 디아스포라 한과 트라우마 씻김굿 제의 고향 밀양 치유 서사 이후 유미리 소설 자신 소수 주체 관심 유미리 작가 모색 경계 디아스포라 주체 재현 창출 유미리 디아스포라 소수 자 문학 고향 정체성 경계 
125	2012	
126	2009	구현 현대 건축 재래시장 활성 
127	2015	개념 입각 인터넷 홍천군 정보 공유 분석 분석 기간 11월 1일 10월 31일 1년 간 분석 질문 개 분석 결과 홍천군 인터넷 정보 수요 패턴 관광 여행 질문 집중 여름철 관광지 성격 인터넷 정보 수요 패턴 홍천군 위치 리조트 발생 홍천군 마케팅 성과 특산물 홍 천 한우 자연 경관 타사 계곡 인터넷 네이버 홍 천 
128	2013	숍 재도 구화 디지털 패 브리 케이 션 
129	2006	
130	2014	서울 어린이대공원 복귀 어린이 시설 유산 가치 Seoul 
131	2008	서비스 스케이프 포스트모더니즘 서비스 
132	2016	
133	2008	
134	2016	영등포 강남 상업 가로 
135	2015	글 거리 이벤트 전통 놀이판 비교 거리 이벤트 경우 실제 안동시 가지 안동 문화 거리 놀이 벤트 사례 전통 놀이판 전통 사회 각종 놀이판 현상 일반화 비교 분석 에드워드 이야기 요소 환경 활동 의미 활용 놀이 벤트 전통 놀이판 분석 표 정리 거리 이벤트 전통 놀이판 
136	2009	브랜드 마케팅 지역 커뮤니케이션 
137	2005	
138	2007	황학동 시장 동대문운동장 청계천 복원 계획 노점상 상인 대표 
139	2010	사진 미디어 서울시 강동구 천호동 재현 사진 접근 나름 의미 부여 보편 기록 매체 관심 사진 촬영 기록 수집 점 사진 기록 재현 로 칼 로 칼리 티 수단 생각 사진 미디어 재현 선정 천호동 도시 행정 단위 주거 일터 일상생활 영위 단위 이해 천호동 경우 1930년대 이후 관련 사진 기록 수집 조각 천호동 연결 고리 주민 생각 그 후 인구 상업시설 유지 전쟁 상처 치유 산업 시설 이전 의미 천호동 구심 연결 구심 이후 천호동 부도심 재편 도시 자리 성격 연결 구심 특징 기저 사진 미디어 연결 구심 도시 
140	2009	유휴 산업 시설 산업 유산 컨버전 도시 재생 도시 건축 
141	2001	마케팅 도시설계 대학로 로데오 거리 
142	2010	사진 평가 법 어린이 도서관 
143	2007	보존 활용 물리 요소 인물 활동 
144	2010	역사 기억 학교 전적지 
145	2005	체험 지각 인식 
146	2006	역사 성곽 건축 체험 
147	2010	
148	2005	현대 사회 다원 사회 각종 영역 분야 경계 상황 상황 이해 수용 개방 텍스트 구조 상호 텍스트 환경 예술 수용 자와 상호작용 이해 상호 텍스트 특성 바라 환경 예술 장르 장르 간의 혼합 이질 시간 간의 혼합 요소 수용자 체험 상호작용 수용자 예술 작품 완성 과정 참여 개인 경험 상황 의미 개념 환상 특수 시공간 표현 방법 상호텍스트성 특성 설정 체험 요소 특성 작품 특징 분석 방법론 사용 환상 특성 이벤트 상황 우연 개업 사건 발생 전개 비 물질 감각 수용자 공 각각 체험 유도 전략 사용 맥락 중 요시 특수 시공 연속체 변화 반영 프로세스 위주 특정 시공간 표현 방법 제안 결과 환경 예술 시각 현존 의지 형이상학 장식 차원 수용자 존재 양태 자리 삶 양분 공급 인식 전환 환경 예술 일종 텍스트 차원 텍스트 텍스트 삶 창조성 유일 대신 상호텍스트성 사이에서 실천 창조성 영역 간의 접목 체험 수용자 측면 허용 다원 측면 생성 개념 진행 중 작품 작품 
149	2007	재생 보존 활용 
150	2006	
151	2003	
152	2009	
153	2006	
154	1997	
155	2006	
156	2006	버 슐츠 세계 내 존재 
157	2007	전근대 도시 이상 알레고리 벤야민 
158	2007	도심 개발 도심 재생 도시 환경 
159	2005	일상 건축 프로세스 장 다이어그램 
160	2007	현대 도시 종교 건축 
161	2001	
162	1999	
163	1990	목적 유교 주의 관념 형성 주택 건축 내 제사 성소 사당 가묘 형태 언어 상징 의미 문화 관점 제기 조선 시대 특유 가족 관념 가족 성원 간 권력관계 구성원 영역 해석 범위 현존 조선 중기 후기 상류 주택 1900년대 이전 사당 건축 사례 대상 문헌 실지 답사 남한 지역 국한 구성 단계 다음 건축 일반 개념 관계 개념 확립 사당 설치 경위 시대 상황 사당 물리 특성 기능 특성 감정 평가 단계 사당 해석 결론 다음 사당 방향 본채 일치 남향 동 남향 본채 위치 방향 동 남향 동향 북 북 서향 순위 방향 선정 안채 관계 사당 수직 위계 중심 두뇌 혈 위치 성 안채 수평 중심 영역 밀접 관계 의미 풍수 의견 제사 환경 영역 중심 성 구조주의 관점 일치 조선 사당 중심성 위계 의존 점 지리 특성 시대인 수직 서열 의식 구조 사당 간수 칸 원칙 건축주 계급 간수 관계 정도 사용 문 존재 죽음 삶 이행 사당 기능 특성 조상 숭배 의식 상징 의미 혈족 통합 대 가족 행동 영역 포함 중국 접견 조상 중국 경우 보통 -5 대 조선 이전 한국 가계 기록 고조 도의 관행 조선 상복 제도 대 점 전통문화 유교 문화 서양 문화 가치 체계 대립 한국 숭조 관념 의식 사당 이외 형태 토착 성격 남은 과제 생각 
164	1996	
165	1996	
166	1994	정자 평면 구조 대상 양식 관찰자 상경 추구 상 경관 체계 입지 해석 시도 열쇠 정자 시민 일경 정자 건축 입지 계획 요건 역사 정자 경과 관계 논 의 미 일차 파악 조사 대상 정자 해석 입지 정자 경관 지역 아이덴티티 조사 대상 정자 밀집 광주 담양 화순 지역 무등산 권역 정자 한정 결과 다음 설정 건축주 동시대인 입지 계획 표현 의지 설정 불문율 시문 규정 건축 배치 의미 정자 랠프 이론 실존 형태 근간 감정이입 대리 추구 실존 외부성 개념 근본 동기 정자 자아 실존 관찰자 모두 전달 체험 정자 입지 관망 대상 자체 추구 의미 방법 가치 자 아 지각 시간 시각 설정 방향 지향 무등산 을 선정 순위 선정 위계 자연 향 천적 외부성 자아 에 게로 하향 정자 합일 중심 해석 이상 요즈음 토지 개발 과정 발생 상실 정자 상실 의미 기념비 건축물 존재 현실 
167	2012	백석 애 상실 장터 항구 거리 탈주 
168	2014	배치 재현 헤테로 토피아 미셸 푸코 앙리 르 페브르 
169	2013	1960년대 후반 포스트모더니즘 이후 작업 맥락 전시 대세 전시 태도 형식 양상 시초 전시 전시 2013년 8월 베니스 프라다 재단 바로크 건물 44년 재연 논문 전시 반복 모사 점 화두 단초 주체 의미 이전 전시 논문 주체 체험 관계 화두 문화 직결 점 지속 강조 주제 작업 특정 작업 이후 기반 작업 글 특정 작업 관계 미술사 의미 회고 정리 특정 미술 한계 딜레마 변화 이후 분리 특정 미술 주목 부분 관심 특정 미술 관계 소원 주체 복귀 현상 말로 특정 밀착 아방가르드 약화 양상 논문 특정 미술 분리 일종 부작용 조명 이론 우려 들뢰즈 갸 리에 제시 노마 드 개념 주체 자율 이동성 힘 셈 연구자 개념 사회학 여행 이론 참조 여행 주체 제시 미술사 담론 자체 장 소감 회복 강조 시각 고려 실향 인해 관계 배제 노마 드 여행자 연계 정박 복수 집 여행지 차별 미술 여행 주체 부상 1960년대 후반 포스트모던 주체 국면 설명 논문 미술 여행 주체 여행 작가 관계 수행 주목 세계화 체계 순응 비판 이동 관계 문화 차이 표상 현대 미술 직면 시의 화두 탐색 경계 작업 몰두 한국 작가 유의미 이론 생각 여행 작가 특정 미술 기반 작업 관계 미학 관계 수행 여행 이론 세계화 노마 드 태도 형식 
170	2013	풍남문 고려 시대 축성 간 전주 호남 전체 상징 건축물 역사 지역 삶 이야기 전주 대표 한옥마을 지역 특화 거리 영화 의거 거리 동문 문화 거리 웨딩 거리 재래시장 연결 중심축 자리 전주 문화 역사 체험 대표 도시 이미지 구성 요소 현재 풍남문 주변 환경 주변 고층 건물 증가 차폐 가로 건물 지역 정체성 채 무미건조 현재 환경 전주 지역 대표 문화재 풍남문 차폐 인접 건축물 철거 부지 풍남문 성곽 연결 모습 전통 느낌 현대 느낌 광장 자연 조성 풍남문 전주 기억 광장 조성하 디자인 제시 역사 문화 도시 전주 문화유산 한옥마을 풍남문 역사 탐방 루트 조성하 중심 광장 풍남문 주변 도심 지역 활성 유도 계기 
171	2015	
172	2012	
173	2013	
174	2013	노천 카페 설계 요소 삼청동 길 중 요도 분석 회귀분석 
175	2015	
176	2014	
177	2015	
178	2015	
179	2018	본고 2000년대 해외여행 서사 속성 방식 여행 형식 반영 유동 근대 징후 시도 해당 2000년대 여행 서사 로컬 단위 세분 정체성 불투명 역사 의미 비장 소적 속성 고유 지각 여행 개별 도시 상징 역사 경관 의미 시품 타자 존재 익명 경험 여행 술어 과거 상실 상처 회복 목적어 필연 결합 채 현재 사실 존재 여행 귀환 내정 세계 자아 발견 최종 목적지 시각 우위 배타 소유 주장 여행 주체 욕망 부재 점 여행 이야기 근대 시각 주의 반성 성찰 측면 이해 상처 기원 잘못 주소 지도 지연 실패 지도 오류 모티프 여행 서사 비장 소성 유동성 근대 속성 함축 지도 무용 의미 걷기 행위 수반 과정 여행 주체 지도 바깥 의미 재발견 발견 의미 상투 고정 완결 여행자 감수성 일시 유동 접속 형성 근대 의미 여행 서사 지도 미지 대상 좌표 설정 여정 21세기 근대 여행 서사 지도 의미 재발견 소통 공존 이야기 2000년대 유동성 여행 노마 드 지도 순례 걷기 반시 각주 
180	2018	
181	2018	
182	2016	
183	2018	
184	2016	
185	2015	홍콩 영국 민화 과정 기존 공동체 형성 의미 유의미 대표 도시 중 이다 식민지 이전 공동체 형성 홍콩 영국인 서양인 주민 중국인 주민 유입 공동체 형성 중국 상대 이질 성격 정치 경제 문화 사회 특징 홍콩 독자 보유 변모 홍콩 특징 혼 종 다중 정체성 홍콩 문학 현상 홍콩 작가 오란 작품 자신 경험 체득 홍콩 특정 의미 과거 회상 기억 방식 특징 오란 홍콩 문학계 작가 이주 작가 분류 오란 다중 신분 문화 정체성 동시 경계 인 특징 이정표 인도네시아 화교 출신 오란 인도네시아 시절 조국 중국 중 고등학교 대학 졸업 그 후 피치 이유 홍콩 거주 당시 물리 외압 홍콩 신세 홍콩 가야 의미 의미 홍콩 삶 연결 의미 부여 과정 홍콩 의미 개념 인식 작품 자신 기억 오란 홍콩 자신 삶 영위 인식 안정 홍콩 너머 인도네시아 베이징 동경 대상 자리 현상 오란 작품 구체 분석 오란 체험 홍콩 구체 의미 고찰 홍콩 타오 홍콩 문학 
186	2018	글 목적 미국 여성주의 정치 철학자 아이리스 매리언 영 다원 정의론 토대 문 빠 여성주의 공존 타진 정의 사회 충족 조건 여성주의 관점 제안 출발점 글 문 빠 여성주의 교집합 아이리스 매리언 영 이질 공중 개념 적극 차용 문재인 대통령 열성 지층 일명 문 문재인 대통령 열성 공통 분모 제외 이념 성향 계층 연령 직업 성별 지역 분포 측면 포괄 스펙트럼 형성 문 단일 속성 집합 실체 환원 이질 특징 정부 정책 정치 사안 이합집산 반복 사건 주체 양상 문 빠 여성주의 조합 탐구 시도 문 구성 주체 이질 여성주의 여성 단일 집합 실체 가정 사건 사안 형성 유동 보편 사건 주체성 특징 점 문 빠 여성주의 사건 사안 반복 유동 보편 교집합 진단 문제 촛불 혁명 동력 정부 성패 좌우 열성 지지 문 빠 지향 정의 여성주의 정의 점 이질 주체 연대 공통 지반 근래 사회 이슈 부상 미투 운동 나라 다운 나라 폐 청산 공정 대한민국 정의 슬로건 여성 사회 약자 차별 억압 완전 철폐 근절 목표 여성주의 정 의관 충족 추상 글 문제의식 다음 가지 점 해명 목적 문 빠 현상 인가 이다 문재인 대통령 절대 지지 표방 문 빠 정부 성공 국정 운영 필수 불가결 동력 작용 사실 문 빠 현상 여성주의 맥락 가늠 정부 표방 여성 정책 의제 현실 성패 여부 작업 상식 원칙 표방 문 빠 정 여성주의 구성 질문 답 여성주의 문 빠 점 지반 공유 문제 구별 점 글 정치 사회 역사 이념 맥락 검토 문 빠 논의 여성주의 관점 맥락 탈구축 재구성 목적 문 빠 운동 분배 정 다차 원 정 이질 공중 
187	2017	
188	2017	본고 김소진 작품 읽기 서사 세계 인물 지금 손짓 말 필요 논의 시작 아비 기억 서사 아들 아비 아비 이해 수렴 일반 김소진 서사 세계 저간 해석 저자 자전 요소 서사 주목 시각 욕 함경도 을 김소진 서사 구축 세계 인물 지금 손짓 말 인지 김소진 읽기 방향 탐색 대도시 서울 변두리 소시민 공동체 배타 보호 정서 경계 배타 실질 변두리 자리 사회 공동체 경계 논리 은유 점 지적 배타 공동체 구성원 승인 입사 장치 희화 제시 자신 외부 배타 시선 전복 내면 권력 행사 쾌감 동류의식 내밀 공유 공동체 의식 공동체 경계 구축 논리 추상 무의식 의미 점 논의 마지막 혼혈 억압 기제 여성 세대 집중 낭만 결말 서사 실질 해결책 기능 현실 논리 확인 역설 상황 여성 세대 결합 근현대사 비극 극복 공동체 전체 몸짓 화해 결말 실질 일종 축제 공동체 입사 결말 갈등 모순 화해 비극 전망 작품 자리 해석 맥락 아메리칸 드림 결말 독자 작품 동화 서사 결말 한계 한국 사회 인류 사회 전체 다 문화 감수성 반성 성찰 계기 제공 김소진 재현 도시 변두리 소시민 공동체 내밀 인종 편견 극복 낭만 희화 입사 1990년대 이후 한국 사회 구조 변화 소설 시선 가지 제시 평가 여성 서사 한국전쟁 혼혈 입사 통과 소시민 공동체 다 문화 감수성 초점 
189	2017	
190	2017	
191	2011	
192	2011	
193	2017	
194	2017	동래 읍성 골목길 역사 창업 가로 체계 
195	2015	
196	2017	단절 생활 가로 문화 변화 만남 소통 
197	2017	서울로 고가 공원 남산 도시 정원 공원 고가도로 재생 
198	2011	
199	2013	
200	2012	
201	2012	
202	2015	
203	2015	
204	2009	
205	2008	
206	2005	입지 설명 사건 이해 발전 환경 가치판단 
207	2011	
208	2012	흔적 복원 서사 구조 
209	2010	
210	2009	커뮤니티 복지 시설 문화 시설 맥락 소통 
211	2010	
212	2010	
213	1998	
214	2010	
215	2010	
216	2009	
217	2005	
218	2010	테란 바 이그 나시 솔라 모랄레스 타자 가라타니 고진 
219	2003	
220	2004	
221	2004	
222	2004	
223	2003	
224	2003	
225	2000	
226	2001	
227	2000	
228	2002	
229	2000	
230	2002	
231	2002	
232	2000	
233	2002	
234	1998	
235	2000	
236	1990	
237	2015	논문 서울시 성수동 뚝섬 일대 규모 공원 서울숲 조성 이후 연관 도시 계획 주변 지역 변화 과정 도시 형태 관점 분석 목적 공원 경계 이내 서울숲 주변 지역 설정 공원 조성 계획 수립 2003년 비교 분석 공원 조성 도시 형태 변화 요인 지구 단위 계획 도시 계획 관련 제도 실제 도시 형태 변화 을 활용 가로 필지 건물 용도 변화 형태 정도 분석 결과 서울숲 조성 이후 대상 지역 해당 면적 변화 변화 진행 중 도시 형태 변화 특징 블록 단위 합 필 대형 필지 조직 이식 급진 이질 변화 전체 도시 형태 변화 면적 차지 낙후 시설 현대 점진 이질 변화 기존 특징 바탕 유기 변화 서울숲 주변 지역 중심 지구 단위 계획 수립 기존 도시 급진 도시 형태 변화 유도 일부 서울숲 인접 주거 지역 중심 공원 연계 자발 지역 활성 경향 확인 공원 연결 상업 문화 시설 지역 강화 지역 활성 긍정 영향 서울숲 대형 공원 공원 주변 지역 도시 형태 도시 재생 
238	2012	서구 처음 등장 게이티드 커뮤니티 지역 사회 문화 맥락 선택 채택 세계 각지 도시 확산 인류학 관점 서구 국내 학계 게이티드 커뮤니티 문헌 수행 한국 상황 비교 국내 게이티드 커뮤니티 분류 주거 단지 형태 제시 게이티드 커뮤니티 특징 빗장 지르기 분리 기제 공동체 요소 구축 요약 국내 특징 주거 단지 초고 주상 복합 아파트 타운하우스 대형 고급 아파트 단지 국내 게이티드 커뮤니티 문법 적용 주거 단지 확산 현상 이해 한국 사회 문화 맥락 고려 강조 앞으로 변화 양상 고급 아파트 단지 영향력 증가 전망 게이티드 커뮤니티 배제 빗장 지르기 도시 공동체 고급 아파트 
239	2011	일제 식민지 유산 해방 이후 한국 도시 형 성사 영향 글 식민지 도시 역사 유산 체계 네트워크 제도 정치 생활 기억 가지 차원 분석 체계 네트워크 문제 도시 간 체계 형성 국토 균등 개발 도시화 지역 개발 문제 전근대 한국 국토 체계 한강 중심 내륙 수운 연안 해운 위주 근대 한국 국토 체계 일제 부설 철도 망 매개 형성 식민지 시간 네트워크 단추 제도 정치 문제 위 중앙 정부 주도 방식 도시 개발 권력 구조 식민지 근대 도시 계획 제도 연관 법제도 조직 유산 문제 포괄 문제 일제 도입 도시 계획 제도 관행 식민 이후 한국 도시 개발 과정 영향 식민지 도시 사회 시민권 공공 문제 공론 장과 이익 정치가 유산 지의 문제 연관 생활 기억 문제 일제 도시민 일상생활 형성 주거 식민 이후 시민 일상생활 도시 문화 영향 지의 문제 일상생활 영향 주택 경우 문화주택 도시 한옥 일식 주택 양식 주택 아파트 도시 빈민 토막 주거 형태 출현 해방 이후 파괴 재건 연속 단절 선택 배제 과정 오늘날 도시 주거 문화 일부 흡수 식민 국가 상징 창출 공공 식민 이후 방식 물리 파괴 변용 기억 망각 발명 과정 제국 식민지 간 도시 네트워크 오늘날 세계도시 체계 형성 밑바탕 점 향후 지구 차원 콜로니 얼 포스트 콜로니 얼 도시 연속 단절 문제 발전 필요 식민지 유산 식민지 근대 도시 문화 정치 식민주의 
240	2005 (종이책) | 2009 (전자책)	
241	2008 (종이책) | 2013 (전자책)	
242	2012	본고 19세기 한양 경관 풍물 향토 계열 작품 대상 작품 구조 의미 장 소성 이론 바탕 당대인 한양 인식 특성 탐구 논문 의 본사 한양 궁궐 관서 시전 놀이 능 행 과거 부분 궁궐 관서 한양 행정 기능 시전 놀이 경제 문화 기능 과거 가경 소통 기능 바탕 분할 묘사 묘사 한양 원형 경관 음양 이원론 입각 조성 인지 결과 도시 기능 인식 한양 획득 서사 결사 궁궐 관서 묘사 부분 한양 조선 환유 국가 정통 강조 향유 자로 공동체 소속감 안정감 정체성 유도 시전 놀이 처 구체 묘사 한양 기능 애착 유도 의존 한양 풍요 만족 바탕 놀이 여가 향유 기대 향유 자 한양 기능 애착 한양 의존 의 창작 배경 18세기 이후 대두 한양 관심 문예 작품 수용 관련 19세기 사회 모순 심화 시기 한양 국도 정체성 경제 놀이 기능 강조 시대 사회 배경 약화 향유 자 애착 강화 노력 표출 작품 양가 애착 공동체 풍물 도시 기능 
