Id,Label,timeset,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree
482,possibilities,,4,0,5,0.35266,0.367992,0,55
483,serve,,1,6,4,0.357327,0.373607,0,19
484,formation,,3,6,4,0.376019,0.395363,0,41
485,minorities,,1,1,5,0.336679,0.357693,0,19
486,country,,2,1,5,0.359066,0.381391,0,30
487,origin,,3,2,5,0.361765,0.382972,106.359699,47
488,deliver,,1,1,5,0.336679,0.357693,0,19
489,physicians,,1,1,5,0.336679,0.357693,0,19
490,office,,1,1,5,0.336679,0.357693,0,19
491,index,,3,8,5,0.338843,0.360629,103.176503,41
492,grateful,,1,1,5,0.336679,0.357693,0,19
493,catalogue,,1,1,5,0.336679,0.357693,0,19
494,pennsylvania,,1,1,5,0.336679,0.357693,0,19
495,arts,,1,1,5,0.336679,0.357693,0,19
496,sciences,,1,1,5,0.336679,0.357693,0,19
497,south,,9,2,4,0.404162,0.427808,129.139139,112
498,roles,,1,1,5,0.336679,0.357693,0,19
499,practices/,,1,1,5,0.336679,0.357693,0,19
500,roles/india,,1,1,5,0.336679,0.357693,0,19
501,arise,,1,1,5,0.336679,0.357693,0,19
502,encounter,,1,1,5,0.336679,0.357693,0,19
503,duty,,1,1,5,0.336679,0.357693,0,19
504,prearrange,,1,1,5,0.336679,0.357693,0,19
505,marriages,,1,1,5,0.336679,0.357693,0,19
506,dominance,,1,1,5,0.336679,0.357693,0,19
507,contraceptive,,1,1,5,0.336679,0.357693,0,19
508,mores,,1,1,5,0.336679,0.357693,0,19
509,barriers,,1,1,5,0.336679,0.357693,0,19
510,misunderstand,,1,1,5,0.336679,0.357693,0,19
511,dissatisfaction,,1,1,5,0.336679,0.357693,0,19
512,provider,,1,1,5,0.336679,0.357693,0,19
513,families,,1,1,5,0.336679,0.357693,0,19
514,graduate,,2,1,5,0.343789,0.363911,0,29
515,education.adult,,1,1,5,0.336679,0.357693,0,19
516,contraception,,1,1,5,0.336679,0.357693,0,19
517,obstetric,,1,1,5,0.336679,0.357693,0,19
518,woman,,1,1,5,0.336679,0.357693,0,19
519,doctor,,2,1,5,0.339154,0.361081,0,32
520,americans,,2,1,5,0.337706,0.359214,0,29
521,evaluation,,11,1,5,0.394231,0.41745,124.639542,137
522,indicator,,11,4,5,0.358949,0.377778,11.727527,138
523,managers,,5,1,5,0.350649,0.373126,2.364644,72
524,self,,15,6,4,0.396916,0.421334,1360.378012,206
525,mexico,,4,9,4,0.368631,0.388061,55.98907,54
526,hegemony,,3,3,4,0.36753,0.386405,0,49
527,exploit,,1,4,5,0.330744,0.345333,0,19
528,competition,,3,4,5,0.342618,0.359259,2.647403,43
529,enhance,,1,4,5,0.330744,0.345333,0,19
530,consumption,,2,4,4,0.340511,0.355089,0,29
531,date,,1,4,5,0.330744,0.345333,0,19
532,urbanism,,2,4,5,0.355035,0.372358,0,36
533,imaginary,,1,4,5,0.330744,0.345333,0,19
534,texts,,2,4,5,0.334846,0.349322,3.812256,30
535,sign,,1,4,5,0.330744,0.345333,0,19
536,advertise,,1,4,5,0.330744,0.345333,0,19
537,newspapers,,1,4,5,0.330744,0.345333,0,19
538,television,,1,4,5,0.330744,0.345333,0,19
539,signify,,1,4,5,0.330744,0.345333,0,19
540,place-identity,,1,4,5,0.330744,0.345333,0,19
541,programme,,1,4,5,0.330744,0.345333,0,19
542,case-study,,1,4,5,0.330744,0.345333,0,19
543,ecgo,,1,4,5,0.330744,0.345333,0,19
544,ideas,,1,6,4,0.357327,0.373607,0,18
545,aesthetics,,1,3,5,0.337397,0.351355,0,18
546,authority,,2,3,5,0.352548,0.370325,0,28
547,today,,1,3,5,0.337397,0.351355,0,18
548,victimization,,2,1,5,0.318561,0.332912,0,28
549,vulnerabilities,,2,1,5,0.318561,0.332912,0,28
550,public,,2,1,5,0.318561,0.332912,0,28
551,violence,,2,1,5,0.318561,0.332912,0,32
552,field,,7,2,4,0.394934,0.418022,66.794658,100
553,dualism,,2,2,5,0.312271,0.327462,0,32
554,growth,,2,9,5,0.344752,0.359033,0,31
555,expression,,9,6,4,0.367652,0.38791,24.213274,111
556,curriculum,,1,3,5,0.321242,0.33374,0,18
557,learn,,4,3,5,0.327321,0.342472,5.738676,54
558,grief,,1,0,5,0.339154,0.352861,0,18
559,typology,,4,4,5,0.305464,0.319482,0,52
560,aggregation,,4,4,5,0.305464,0.319482,0,52
561,distribution,,5,4,5,0.328779,0.344128,0,62
562,build,,16,4,5,0.388013,0.411578,59.792158,204
563,palace,,6,4,5,0.334643,0.350226,0,77
564,magnifica,,4,4,5,0.305464,0.319482,0,52
565,comunità,,4,4,5,0.305464,0.319482,0,52
566,reinforcement,,4,4,5,0.305464,0.319482,0,52
567,intervention,,4,4,5,0.305464,0.319482,0,52
568,beam,,4,4,5,0.305464,0.319482,0,52
569,steel,,6,4,5,0.341245,0.356323,7.28129,73
570,roof,,4,4,5,0.305464,0.319482,0,52
571,truss,,4,4,5,0.305464,0.319482,0,52
572,notion,,9,3,4,0.37872,0.399127,18.777438,125
573,vision,,1,3,5,0.337397,0.351355,0,18
574,confidence,,5,4,5,0.312271,0.327898,53.651084,73
575,newcomers,,4,4,5,0.31078,0.325595,0,63
576,figure,,2,3,4,0.357558,0.37421,0,28
577,relevance,,3,3,4,0.367286,0.385276,0,42
578,narrations,,1,3,5,0.288056,0.297305,0,18
579,residence,,14,1,4,0.400942,0.423818,32.289692,191
580,recreationists,,3,6,5,0.310868,0.323156,0,41
581,increase,,5,9,4,0.376019,0.395815,0,66
582,examination,,3,6,4,0.36,0.377145,0,49
583,forest,,3,9,5,0.344967,0.359636,0,48
584,room,,1,3,5,0.319204,0.32975,0,18
585,personalization,,1,3,5,0.319204,0.32975,0,18
586,game,,2,2,5,0.312271,0.327462,0,32
587,spatiality,,1,10,6,0.239559,0.245363,0,18
588,dasein,,5,10,5,0.314936,0.32844,3317.095622,66
589,decision,,4,6,5,0.34114,0.363942,25.708827,54
590,organizations,,8,1,5,0.383709,0.406609,194.040169,97
591,zealand,,7,2,5,0.358368,0.377477,118.482821,97
592,species,,3,1,5,0.342406,0.363114,101.92344,40
593,pier,,4,2,5,0.354013,0.371755,1114.984535,54
594,brighton,,1,2,6,0.261517,0.268564,0,18
595,appearance,,1,3,5,0.337397,0.351355,0,18
596,consciousness,,3,3,4,0.370234,0.38919,0,38
597,existence,,1,3,5,0.337397,0.351355,0,18
598,capacity,,9,9,4,0.395357,0.417796,140.017096,109
599,austria,,3,12,5,0.338429,0.351144,0,45
600,valuation,,2,1,5,0.330251,0.341945,0,28
601,color,,3,5,5,0.329562,0.346628,1142.639792,54
602,materials,,1,5,6,0.247928,0.255074,0,18
603,york,,2,5,5,0.287757,0.298796,0,33
604,biota,,2,1,5,0.336781,0.358145,0,32
605,organisms,,2,1,5,0.336781,0.358145,0,32
606,habitus,,4,5,4,0.328877,0.340334,1107.731523,50
607,investment,,4,3,5,0.342937,0.356399,0,60
608,press,,4,3,5,0.342937,0.356399,0,58
609,persons,,4,3,5,0.342937,0.356399,0,58
610,attractiveness,,5,3,5,0.355263,0.372057,0,74
611,note,,4,3,5,0.342937,0.356399,0,59
612,boundaries,,2,6,4,0.358601,0.375339,0,27
613,discussion,,11,9,4,0.400072,0.42171,15.653102,145
614,traffic,,9,4,5,0.354013,0.373035,1144.419123,113
615,transportation,,6,4,5,0.33434,0.350903,10.363619,83
616,course,,5,3,4,0.373356,0.393406,7.048279,72
617,trail,,6,6,5,0.340197,0.354216,0,89
618,wales,,2,2,4,0.358137,0.374962,0,31
619,location,,11,3,4,0.40609,0.428561,660.150106,133
620,professionals,,3,1,5,0.366678,0.388166,0,38
621,renewal,,2,6,4,0.357674,0.37436,0,27
622,marginalisation,,2,0,5,0.347785,0.361442,0,27
623,priority,,1,1,5,0.336679,0.357693,0,17
624,journal,,1,1,5,0.336679,0.357693,0,17
625,capture,,5,2,5,0.372727,0.393963,129.413983,66
626,diversity,,9,1,4,0.397772,0.421183,34.380745,109
627,childhood,,1,5,5,0.287607,0.298193,0,16
628,sage,,4,9,4,0.376787,0.39732,0,51
629,activists,,3,0,5,0.321615,0.331933,3.311592,40
630,africa,,3,3,4,0.367286,0.384372,0,37
631,exclusion,,3,6,4,0.367652,0.387007,1106,38
632,arena,,2,9,5,0.309997,0.322328,0,26
633,attachments,,4,4,5,0.311743,0.323111,14.190303,54
634,example,,7,6,4,0.387063,0.407483,323.582255,82
635,western,,5,6,4,0.381461,0.40259,0,58
636,inhabitants,,7,4,5,0.370854,0.390575,9.722029,86
637,food,,1,6,4,0.357327,0.373607,0,16
638,mind,,1,3,5,0.337397,0.351355,0,16
639,embody,,8,1,5,0.39353,0.416396,74.447026,96
640,lens,,3,3,4,0.353674,0.371048,0,40
641,connections,,5,3,5,0.372476,0.393285,8.379683,62
642,affiliation,,2,6,5,0.314132,0.326347,0,29
643,barcelona,,1,1,5,0.31847,0.33246,0,16
644,host,,2,2,5,0.308959,0.323668,0,28
645,refugees,,1,12,5,0.297101,0.305631,0,16
646,pedestrianism,,1,9,5,0.344431,0.358281,0,16
647,freeways,,2,1,5,0.289034,0.298223,0,28
648,attempt,,2,0,5,0.36212,0.38252,0,31
649,regeneration,,2,6,4,0.357674,0.37436,0,26
650,prerequisites,,2,0,5,0.347785,0.361442,0,26
651,head,,2,0,5,0.347785,0.361442,0,26
652,limitations,,6,1,5,0.376531,0.397049,0,70
653,songs,,5,0,5,0.342301,0.358973,10.070405,64
654,ecosystem,,2,1,5,0.330251,0.341945,0,26
655,association,,1,3,6,0.258645,0.26489,0,16
656,mood,,7,3,5,0.348771,0.364679,2246.758659,112
657,scorers,,1,3,6,0.258645,0.26489,0,16
658,sociology,,1,7,6,0.284869,0.293797,0,16
659,religiosity,,2,2,5,0.298302,0.307558,0,28
660,expansion,,2,2,5,0.312271,0.327462,0,30
661,internet,,3,9,5,0.348332,0.363324,0,42
662,surf,,6,3,5,0.342195,0.357016,13.147184,80
663,wave,,7,3,4,0.368263,0.387157,81.214752,91
664,guests,,3,2,5,0.315295,0.330397,5.103283,40
665,sop,,3,6,5,0.323306,0.334207,0,40
666,air,,5,9,5,0.329759,0.341388,0.2,68
667,ontario,,4,1,5,0.340092,0.362587,0,46
668,coalfield,,1,9,5,0.300244,0.311503,0,16
669,compatibility,,1,1,5,0.340615,0.353914,0,16
670,agencies,,1,1,5,0.336679,0.357693,0,16
671,transform,,2,3,5,0.318012,0.328937,0,27
672,climate,,3,4,5,0.333032,0.348193,0,36
673,tradition,,10,4,5,0.39409,0.417977,211.023259,123
674,arabia,,3,4,5,0.333032,0.348193,0,36
675,gridiron,,3,4,5,0.333032,0.348193,0,36
676,success,,3,4,5,0.333032,0.348193,0,36
677,failure,,3,4,5,0.333032,0.348193,0,36
678,consider,,2,1,4,0.364504,0.38234,3.899978,27
679,type,,6,6,5,0.35154,0.368669,3.197067,70
680,nurse,,5,1,5,0.369123,0.390123,0,63
681,workplaces,,6,1,5,0.369739,0.391177,78.320736,75
682,employment,,7,1,5,0.372978,0.394941,0,87
683,series,,6,3,4,0.38133,0.402138,0,70
684,ireland,,10,2,4,0.371976,0.392502,2314.816928,118
685,rock,,3,1,5,0.348771,0.365131,0,39
686,notions,,2,2,4,0.358137,0.374962,0,29
687,contribute,,4,0,4,0.387605,0.408687,4.278079,49
688,present,,2,3,5,0.327224,0.341795,26.750259,25
689,argument,,2,3,4,0.362357,0.379705,0,28
690,equation,,2,6,5,0.314043,0.326739,0,26
691,compare,,6,4,4,0.372727,0.393556,57.291588,71
692,collect,,2,4,4,0.362001,0.379931,0,25
693,government,,4,1,4,0.383709,0.404998,88.885231,49
694,constructions,,1,3,5,0.337397,0.351355,0,15
695,psychology,,1,1,5,0.31847,0.33246,0,15
696,inspire,,1,9,5,0.344431,0.358281,0,15
697,efforts,,11,4,5,0.384242,0.406986,206.616483,129
698,placelessness,,3,3,5,0.335353,0.350918,0,38
699,presentation,,10,11,5,0.340406,0.35813,5550.915742,110
700,beauty,,1,11,6,0.254016,0.260961,0,15
701,canyon,,1,11,6,0.254016,0.260961,0,15
702,variety,,1,9,5,0.344431,0.358281,0,15
703,zone,,1,4,5,0.323401,0.335938,0,15
704,philosophy,,5,4,4,0.371103,0.39047,39.322492,60
705,kinship,,1,6,4,0.357327,0.373607,0,15
706,draw,,4,5,4,0.369616,0.389265,25.15948,51
707,collaboration,,1,1,5,0.32022,0.332174,0,15
708,expand,,6,2,5,0.38331,0.404426,202.982569,78
709,exploration,,4,2,5,0.349211,0.367164,6.438482,53
710,authorities,,2,2,5,0.312271,0.327462,0,29
711,representation,,3,6,4,0.368141,0.387308,0,40
712,future,,6,4,4,0.401378,0.422237,6.726019,78
713,self-actualization,,1,9,5,0.344431,0.358281,0,15
714,shift,,4,4,4,0.364025,0.383092,0,57
715,atmosphere,,2,1,5,0.346262,0.366245,0,25
716,"""hawaii""",,2,1,5,0.346262,0.366245,0,25
717,participant,,2,1,5,0.346262,0.366245,0,25
718,atlas.ti,,2,1,5,0.346262,0.366245,0,25
719,assist,,2,1,5,0.346262,0.366245,0,25
720,god,,2,1,5,0.346262,0.366245,0,25
721,pono,,2,1,5,0.346262,0.366245,0,25
722,mana,,2,1,5,0.346262,0.366245,0,25
723,kuleana,,2,1,5,0.346262,0.366245,0,25
724,ancestral,,2,1,5,0.346262,0.366245,0,25
725,iii,,2,1,5,0.346262,0.366245,0,25
726,intention,,3,1,5,0.347022,0.3676,0,36
727,openness,,2,1,5,0.346262,0.366245,0,25
728,flow,,3,1,5,0.362001,0.381768,0,35
729,energy,,2,1,5,0.346262,0.366245,0,25
730,"""puuhonua""",,2,1,5,0.346262,0.366245,0,25
731,raise,,2,1,5,0.346262,0.366245,0,25
732,depth,,2,1,5,0.346262,0.366245,0,25
733,select,,2,1,5,0.346262,0.366245,0,25
734,victim,,2,1,5,0.346262,0.366245,0,25
735,photography,,2,1,5,0.346262,0.366245,0,27
736,medium,,2,1,5,0.346262,0.366245,0,25
737,people.adult,,2,1,5,0.346262,0.366245,0,25
738,hawaii,,2,1,5,0.346262,0.366245,0,25
739,hong,,9,12,4,0.365106,0.384673,2228.537881,107
740,ownership,,4,12,4,0.368141,0.387459,37.171207,48
741,tensions,,2,2,5,0.338947,0.350903,0,25
742,morality,,1,3,6,0.265595,0.272388,0,15
743,alleys,,1,12,5,0.272258,0.281436,0,15
744,participation,,6,4,5,0.368141,0.387112,41.37731,73
745,transition,,4,4,5,0.335455,0.35,8.788087,48
746,church,,1,2,5,0.296068,0.304577,0,14
747,involve,,2,6,5,0.296465,0.306474,0,28
748,worlds,,2,6,5,0.296465,0.306474,0,28
749,ecologies,,2,6,5,0.296465,0.306474,0,28
750,wilds,,2,6,5,0.296465,0.306474,0,28
751,generate,,2,6,4,0.381461,0.402063,0,24
752,matter,,1,3,5,0.321242,0.33374,0,14
753,county,,7,9,5,0.359182,0.376122,301.099647,82
754,belfast,,2,2,5,0.271324,0.279464,1106,26
755,protection,,5,3,5,0.354127,0.371906,0.710931,62
756,sit,,5,2,4,0.373986,0.394309,2.576471,59
757,restructure,,1,1,5,0.336679,0.357693,0,14
758,challenge,,6,3,4,0.401232,0.422162,0,69
759,visitors,,4,3,5,0.36141,0.380488,8.84544,52
760,film,,1,3,5,0.337397,0.351355,0,14
761,cinema,,1,3,5,0.337397,0.351355,0,14
762,bond,,1,3,5,0.337397,0.351355,0,14
763,face,,1,1,5,0.31847,0.33246,0,14
764,range,,3,1,4,0.329661,0.3447,6.11871,34
765,sexualise,,1,9,5,0.287607,0.296417,0,14
766,interpretations,,2,6,4,0.359532,0.376694,0,24
767,countries,,2,2,4,0.364145,0.382565,0,26
768,represent,,1,3,5,0.319204,0.32975,0,14
769,contrast,,3,6,5,0.310345,0.320205,0,40
770,definitions,,2,9,5,0.344752,0.359033,0,27
771,idea,,4,3,5,0.350095,0.366637,37.621615,49
772,assessment,,2,9,5,0.344752,0.359033,0,27
773,section,,8,6,4,0.366314,0.385953,6.310376,92
774,foundation,,2,9,5,0.344752,0.359033,0,28
775,car,,1,4,6,0.261517,0.26885,0,14
776,overlook,,1,1,5,0.336679,0.357693,0,14
777,anishinabek,,1,1,5,0.336679,0.357693,0,14
778,component,,1,1,5,0.336679,0.357693,0,14
779,incorporate,,1,1,5,0.336679,0.357693,0,14
780,conceptualizations,,2,1,5,0.364985,0.386134,0,25
781,partial,,1,1,5,0.336679,0.357693,0,14
782,reserved.culture,,1,1,5,0.336679,0.357693,0,14
783,emotion,,2,1,5,0.36212,0.38252,0,24
784,judgment,,3,6,4,0.358021,0.375113,0,34
785,convergence,,2,2,5,0.312271,0.327462,0,28
786,phenomenon,,2,2,5,0.312271,0.327462,0,28
787,definition,,3,2,4,0.364865,0.383695,0,38
788,descriptors,,2,2,5,0.312271,0.327462,0,28
789,demarcate,,2,2,5,0.312271,0.327462,0,28
790,fashion,,2,2,5,0.312271,0.327462,0,28
791,players,,2,2,5,0.312271,0.327462,0,28
792,spectators,,2,2,5,0.312271,0.327462,0,28
793,opposites,,2,2,5,0.312271,0.327462,0,28
794,sport/tourism/sports,,2,2,5,0.312271,0.327462,0,28
795,division,,2,2,5,0.312271,0.327462,0,28
796,omissions,,2,2,5,0.312271,0.327462,0,28
797,centrality,,2,2,5,0.312271,0.327462,0,28
798,impetus,,2,2,5,0.312271,0.327462,0,28
799,olympic,,2,2,5,0.312271,0.327462,0,28
800,burgeon,,2,2,5,0.312271,0.327462,0,28
801,partnership,,2,2,5,0.312271,0.327462,0,28
802,tournament,,2,2,5,0.312271,0.327462,0,28
803,gammon,,2,2,5,0.312271,0.327462,0,28
804,robinson,,2,2,5,0.312271,0.327462,0,28
805,tourism/tourism,,2,2,5,0.312271,0.327462,0,28
806,ltd,,2,2,5,0.312271,0.327462,0,28
807,entrapment,,2,12,5,0.287309,0.297847,0,26
808,locomotor,,2,12,5,0.287309,0.297847,0,26
809,corridor,,1,6,5,0.307671,0.317946,0,14
810,sub-categories,,1,6,5,0.307671,0.317946,0,14
811,street,,2,4,5,0.321522,0.330894,1106,24
812,designers,,1,0,5,0.28443,0.292924,0,14
813,pollution,,5,9,5,0.338015,0.350632,4.967475,62
814,christchurch,,1,2,5,0.284795,0.294204,0,14
815,allegations,,1,2,5,0.284795,0.294204,0,14
816,mainstream,,1,2,5,0.284795,0.294204,0,14
817,pit,,1,4,5,0.297181,0.306655,0,14
818,chuska,,1,4,5,0.297181,0.306655,0,14
819,household,,1,4,5,0.297181,0.306655,0,14
820,province,,7,1,4,0.385312,0.407182,33.012517,80
821,reform,,4,1,5,0.340092,0.362587,0,44
822,directions,,4,1,5,0.340092,0.362587,0,44
823,entity,,1,1,5,0.303205,0.316335,0,13
824,institutions,,2,1,5,0.341772,0.355571,0,23
825,countryside,,1,3,5,0.337397,0.351355,0,13
826,embodiment,,1,0,5,0.339154,0.352861,0,13
827,copyright,,4,4,5,0.362001,0.37966,7.527107,45
828,maintenance,,3,6,4,0.368141,0.387308,0,35
829,think,,1,3,5,0.321242,0.33374,0,13
830,situate,,1,6,4,0.357327,0.373607,0,13
831,destinations,,1,2,5,0.308873,0.323216,0,13
832,assess,,1,1,5,0.31847,0.33246,0,13
833,policies,,1,1,5,0.336679,0.357693,0,13
834,strategies,,7,6,5,0.360821,0.380337,30.218149,80
835,neighbourhoods,,2,4,5,0.355035,0.372358,0,23
836,los,,2,0,5,0.327418,0.343842,0,23
837,source,,1,6,4,0.357327,0.373607,0,13
838,territoriality,,1,3,5,0.319204,0.32975,0,13
839,propose,,2,9,5,0.344752,0.359033,0,25
840,ideology,,1,3,5,0.337397,0.351355,0,13
841,regions,,7,4,5,0.369,0.388016,12.775174,77
842,root,,1,6,4,0.357327,0.373607,0,13
843,city-identity-sustainability,,2,6,4,0.358601,0.375489,0,23
844,latin,,1,6,5,0.295436,0.305269,0,13
845,event,,1,2,5,0.284795,0.294204,0,13
846,autochthony,,1,3,5,0.274758,0.282114,0,12
847,travel,,2,1,5,0.341772,0.355571,0,22
848,homeowners,,1,9,5,0.344431,0.358281,0,12
849,north,,2,6,4,0.359883,0.376694,0,24
850,become,,3,0,5,0.348661,0.362948,0,32
851,act,,3,1,5,0.304121,0.318142,9.721276,32
852,johnston,,1,2,6,0.213459,0.217555,0,12
853,esthetics,,1,4,5,0.330744,0.345333,0,12
854,goal,,1,3,5,0.337397,0.351355,0,12
855,sunda,,1,3,5,0.29278,0.301536,0,12
856,modernity,,2,6,4,0.360352,0.377522,0,24
857,disability,,1,6,5,0.268885,0.276453,0,12
858,mark,,1,6,4,0.357327,0.373607,0,12
859,negotiation,,1,6,4,0.357327,0.373607,0,12
860,wildlife,,1,9,5,0.296703,0.305646,0,12
861,refuge,,1,9,5,0.296703,0.305646,0,12
862,homelessness,,1,0,5,0.339154,0.352861,0,12
863,homeless,,1,0,5,0.339154,0.352861,0,12
864,cause,,1,0,5,0.339154,0.352861,0,12
865,memorandum,,1,3,5,0.331437,0.341494,0,12
866,australasia,,2,1,5,0.343256,0.365733,0,22
867,situation,,1,0,5,0.327128,0.343089,0,12
868,okinawans,,1,0,5,0.271191,0.279344,0,12
869,hand,,9,4,5,0.364985,0.386284,203.07777,98
870,santiago,,1,0,5,0.327128,0.343089,0,12
871,desegregation,,1,6,5,0.284211,0.292984,0,12
872,old-timers,,3,4,5,0.301143,0.312014,0,34
873,east,,1,3,5,0.337397,0.351355,0,12
874,object,,1,3,5,0.337397,0.351355,0,12
875,landform,,1,4,6,0.258223,0.264378,0,12
876,hill,,4,4,5,0.348004,0.363324,1106,44
877,respondent,,1,6,5,0.307671,0.317946,0,12
878,ankara,,2,4,5,0.314936,0.327386,0,24
879,turkey,,3,4,5,0.342831,0.35956,9.159374,35
880,encapsulation,,2,4,5,0.314936,0.327386,0,24
881,deal,,4,12,4,0.368754,0.386254,0,45
882,artists,,1,1,5,0.31847,0.33246,0,12
883,standard,,3,6,5,0.310345,0.320205,0,34
884,incline,,3,6,5,0.310345,0.320205,0,34
885,treat,,1,6,4,0.357327,0.373607,0,12
886,online,,2,9,5,0.344752,0.359033,0,22
887,mâori,,1,3,5,0.296306,0.304758,0,12
888,negro,,1,2,5,0.293868,0.30664,0,12
889,highway,,2,1,5,0.289034,0.298223,0,24
890,maintain,,1,5,5,0.268169,0.276031,0,12
891,end,,2,5,5,0.27997,0.292457,53.244545,22
892,reciprocity,,1,5,5,0.268169,0.276031,0,12
893,gain,,1,6,4,0.357327,0.373607,0,12
894,myths,,3,2,4,0.341983,0.356143,14.35328,34
895,outdoors,,1,5,5,0.268169,0.276031,0,12
896,facts,,1,6,4,0.357327,0.373607,0,12
897,istanbul,,2,0,5,0.327224,0.343541,0,24
898,cent,,4,6,5,0.322177,0.334417,0.275706,48
899,degree,,1,1,5,0.340615,0.353914,0,12
900,being-in-the-world,,1,10,6,0.239559,0.245363,0,12
901,phenomenology,,1,10,6,0.239559,0.245363,0,12
902,weaknesses,,2,9,5,0.344752,0.359033,0,24
903,favor,,2,9,5,0.344752,0.359033,0,24
904,amartya,,2,9,5,0.344752,0.359033,0,24
905,achievements,,2,9,5,0.344752,0.359033,0,24
906,cherbourg,,2,6,4,0.357443,0.374059,0,24
907,queensland,,2,6,4,0.357443,0.374059,0,24
908,tsonga,,1,6,4,0.357327,0.373607,0,12
909,indians,,1,6,5,0.298222,0.307453,0,12
910,preservation,,1,6,5,0.298222,0.307453,0,12
911,finland,,2,3,5,0.341667,0.357227,0,22
912,hypothesis,,2,1,5,0.322835,0.336751,0,22
913,gentrification,,2,1,5,0.322835,0.336751,0,22
914,cultivation,,2,1,5,0.296148,0.305239,0,24
915,correlation,,1,12,5,0.272258,0.281436,0,12
916,kong,,1,12,5,0.267521,0.274932,0,12
917,genealogy,,1,6,4,0.357327,0.373607,0,12
918,propensity,,1,6,5,0.295436,0.305269,0,12
919,surfers,,3,3,5,0.327612,0.340063,0,36
920,cluster,,1,3,5,0.317738,0.328184,0,12
921,employees,,2,8,5,0.257742,0.264288,0,22
922,record,,2,8,5,0.257742,0.264288,0,22
923,correlations,,2,8,5,0.257742,0.264288,0,22
924,worldview,,1,6,5,0.265023,0.272222,0,12
925,cognition,,4,5,5,0.307074,0.322192,89.673504,42
926,size,,1,1,5,0.294337,0.304035,0,12
927,reposition,,2,2,4,0.358137,0.374962,0,22
928,coverage,,2,2,4,0.358137,0.374962,0,23
929,riverboat,,6,9,5,0.344002,0.3567,3315,72
930,indiana,,1,9,6,0.256013,0.261081,0,12
931,gamble,,1,9,6,0.256013,0.261081,0,12
932,madison,,1,9,6,0.256013,0.261081,0,12
933,compute,,2,5,5,0.293245,0.305691,0,22
934,machine,,1,5,5,0.28341,0.292939,0,12
935,basis,,3,6,4,0.363666,0.380608,2.264292,34
936,cars,,3,4,5,0.331041,0.346387,0,34
937,seek,,2,3,5,0.3375,0.351807,0,24
938,develop,,2,3,5,0.3375,0.351807,0,24
939,actor,,2,3,5,0.3375,0.351807,0,24
940,brentwood,,2,12,5,0.345938,0.360012,0,24
941,application,,1,1,5,0.32022,0.332174,0,11
942,consequences,,2,3,5,0.340092,0.352409,1.044753,22
943,discipline,,1,3,5,0.321242,0.33374,0,11
944,differentiation,,1,3,5,0.317738,0.328184,0,11
945,nature-society,,2,9,5,0.310258,0.32028,0,21
946,visit,,2,2,5,0.309132,0.323969,0,22
947,administration,,1,4,5,0.323401,0.335938,0,11
948,vehicle,,1,2,5,0.293868,0.30664,0,11
949,conference,,2,3,5,0.331338,0.343752,0,22
950,investigation,,3,6,4,0.366435,0.382716,0,32
951,consist,,1,0,5,0.336781,0.347817,0,11
952,trace,,1,3,5,0.291163,0.301445,0,11
953,arguments,,2,3,5,0.342724,0.359711,5.692533,21
954,migration,,2,0,5,0.339571,0.353613,0,21
955,comprise,,1,1,5,0.31847,0.33246,0,11
956,artefacts,,2,3,5,0.341983,0.357001,0,21
957,variance,,1,6,5,0.307671,0.317946,0,11
958,grow,,1,6,4,0.357327,0.373607,0,11
959,well,,1,9,5,0.344431,0.358281,0,11
960,reference,,1,6,4,0.357327,0.373607,0,11
961,evolve,,1,6,4,0.357327,0.373607,0,11
962,team,,1,4,5,0.321335,0.330292,0,11
963,attribute,,1,3,5,0.337397,0.351355,0,11
964,adults,,1,1,5,0.340615,0.353914,0,11
965,employ,,1,6,5,0.291469,0.302575,0,11
966,sacrilization,,1,6,5,0.291469,0.302575,0,11
967,repression,,1,6,5,0.291469,0.302575,0,11
968,avoidance,,1,6,5,0.291469,0.302575,0,11
969,subjective,,1,6,5,0.291469,0.302575,0,11
970,cop,,1,6,5,0.291469,0.302575,0,11
971,strategy,,1,6,5,0.291469,0.302575,0,11
972,george,,1,3,5,0.337397,0.351355,0,11
973,core,,1,3,5,0.317738,0.328184,0,11
974,france,,1,3,5,0.317738,0.328184,0,11
975,measurement,,1,6,5,0.30597,0.315282,0,10
976,ability,,1,9,5,0.300244,0.311503,0,10
977,performances,,1,1,5,0.340615,0.353914,0,10
978,provision,,1,1,5,0.303205,0.316335,0,10
979,respect,,1,3,5,0.291163,0.301445,0,10
980,researchers,,1,6,5,0.301964,0.313701,0,10
981,engage,,2,3,5,0.347458,0.362572,0,20
982,recruitment,,1,1,5,0.281107,0.290259,0,10
983,mix,,2,3,5,0.331636,0.342096,0,20
984,ward,,1,1,5,0.281107,0.290259,0,10
985,career,,1,1,5,0.281107,0.290259,0,10
986,immigration,,2,0,5,0.321242,0.33118,0.346131,20
987,orientation,,1,4,5,0.297181,0.306655,0,10
988,conclusions,,1,3,5,0.327418,0.33916,0,10
989,language,,1,6,5,0.296306,0.305872,0,10
990,generations,,1,3,5,0.337397,0.351355,0,10
991,intimacy,,1,1,5,0.340615,0.353914,0,10
992,look,,1,3,5,0.321242,0.33374,0,10
